City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Beira,MZ,2020-08-22 15:54:02,-19.84,34.84,73.4,69,40,10.29
229,Boa Vista,BR,2020-08-22 15:51:25,2.82,-60.67,89.6,52,40,4.7
230,Itoman,JP,2020-08-22 15:54:02,26.12,127.67,82.4,94,75,6.93
231,Negombo,LK,2020-08-22 15:54:02,7.21,79.84,82.4,83,20,10.29
232,Pamekasan,ID,2020-08-22 15:54:02,-7.16,113.47,79.57,78,41,10.4
233,Semirom,IR,2020-08-22 15:54:02,31.42,51.57,62.02,25,0,7.74
234,Rapid Valley,US,2020-08-22 15:54:03,44.06,-103.15,86.0,36,1,3.91
235,Kentau,KZ,2020-08-22 15:54:03,43.52,68.51,78.39,17,5,14.43
236,Sioux Lookout,CA,2020-08-22 15:54:03,50.1,-91.92,71.6,83,75,6.93
237,Mahebourg,MU,2020-08-22 15:54:03,-20.41,57.7,71.6,78,75,12.75
238,Port Blair,IN,2020-08-22 15:54:03,11.67,92.75,82.27,80,100,9.64
239,Bestobe,KZ,2020-08-22 15:54:03,52.5,73.1,59.32,71,76,9.33
240,Japura,ID,2020-08-22 15:54:03,-0.32,102.35,76.12,92,95,1.81
241,Ribeira Brava,PT,2020-08-22 15:54:03,32.65,-17.07,79.0,65,20,18.34
242,Kysyl-Syr,RU,2020-08-22 15:54:04,63.9,122.76,41.49,74,0,5.44
243,Gallup,US,2020-08-22 15:54:04,35.53,-108.74,71.6,28,1,4.27
244,Mondlo,ZA,2020-08-22 15:54:04,-27.98,30.72,57.74,34,0,1.86
245,Awbari,LY,2020-08-22 15:54:04,26.59,12.78,97.0,17,0,12.77
246,Nara,JP,2020-08-22 15:54:04,34.69,135.8,78.01,98,87,1.21
247,Antofagasta,CL,2020-08-22 15:54:04,-23.65,-70.4,60.8,63,40,5.82
248,Ust-Karsk,RU,2020-08-22 15:54:05,52.7,118.81,58.32,84,100,2.51
249,Bethel,US,2020-08-22 15:54:05,41.37,-73.41,84.0,65,1,4.7
250,Tingi,TZ,2020-08-22 15:54:05,-11.3,35.03,61.25,85,85,2.21
251,Plettenberg Bay,ZA,2020-08-22 15:54:05,-34.05,23.37,59.32,73,0,2.53
252,Norman Wells,CA,2020-08-22 15:54:05,65.28,-126.83,53.6,81,75,4.7
253,Mountain Home,US,2020-08-22 15:54:00,43.13,-115.69,66.2,63,1,9.17
254,Portland,US,2020-08-22 15:52:32,45.52,-122.68,63.0,82,75,3.36
255,Cape Girardeau,US,2020-08-22 15:51:58,37.31,-89.52,75.2,83,20,0.87
256,San-Pedro,CI,2020-08-22 15:54:06,4.75,-6.64,78.67,79,76,11.23
257,Krabi,TH,2020-08-22 15:53:23,8.07,98.91,77.0,94,20,2.24
258,Buala,SB,2020-08-22 15:54:06,-8.14,159.59,81.03,81,100,7.43
259,Airai,TL,2020-08-22 15:54:06,-8.93,125.41,56.95,60,63,4.09
260,Berehove,UA,2020-08-22 15:54:06,48.21,22.64,84.2,45,0,2.24
261,Yakeshi,CN,2020-08-22 15:54:07,49.28,120.73,61.14,77,100,5.41
262,Qasigiannguit,GL,2020-08-22 15:54:07,68.82,-51.19,42.8,70,20,3.36
263,Pevek,RU,2020-08-22 15:54:07,69.7,170.31,38.71,96,100,7.31
264,Gat,IL,2020-08-22 15:54:07,31.61,34.76,84.99,51,0,1.01
265,Kiunga,PG,2020-08-22 15:54:07,-6.12,141.29,71.76,98,16,2.04
266,Visby,SE,2020-08-22 15:54:07,57.64,18.3,75.0,69,100,17.22
267,Severo-Kurilsk,RU,2020-08-22 15:54:07,50.68,156.12,48.99,88,22,11.05
268,Bengkulu,ID,2020-08-22 15:54:07,-3.8,102.27,77.77,88,99,4.56
269,San Patricio,MX,2020-08-22 15:54:07,19.22,-104.7,82.4,83,75,3.11
270,Porosozero,RU,2020-08-22 15:54:08,62.72,32.73,65.7,62,39,7.76
271,Shahreza,IR,2020-08-22 15:54:08,32.03,51.88,79.68,14,0,18.79
272,Comodoro Rivadavia,AR,2020-08-22 15:54:08,-45.87,-67.5,62.6,39,40,24.16
273,Ryotsu,JP,2020-08-22 15:54:08,38.08,138.43,71.6,94,71,2.24
274,Hammerfest,NO,2020-08-22 15:54:08,70.66,23.68,66.2,72,83,38.03
275,Novyy Urgal,RU,2020-08-22 15:54:08,51.07,132.56,57.94,95,100,4.27
276,Mubende,UG,2020-08-22 15:54:09,0.56,31.39,70.66,70,96,3.53
277,Banda Aceh,ID,2020-08-22 15:49:15,5.56,95.32,79.59,80,51,8.32
278,Homer,US,2020-08-22 15:54:09,59.64,-151.55,55.0,93,1,5.82
279,Shevchenkove,UA,2020-08-22 15:54:09,49.7,37.17,73.4,35,5,8.95
280,Oranjestad,AW,2020-08-22 15:51:47,12.52,-70.03,84.2,83,75,11.41
281,Vila Velha,BR,2020-08-22 15:54:09,-20.33,-40.29,68.0,88,75,21.92
282,Kruisfontein,ZA,2020-08-22 15:54:09,-34.0,24.73,70.0,46,0,1.99
283,Tanabe,JP,2020-08-22 15:54:09,33.73,135.37,78.01,88,88,5.39
